Tab.2.1.7;;;;;;;;;;;;
;;;;;;;;;;;;
Ausgaben von Bildungseinrichtungen je Schüler/-in und Studierende/-n nach Staaten und Bildungsbereichen (ISCED 1997) in US-Dollar in umgerechneter Kaufkraftparität 1);;;;;;;;;;;;
;;;;;;;;;;;;
;;ISCED 0: Elementarbereich (für 3-Jährige und Ältere);ISCED 1: Primarbereich;ISCED 2: Sekundarbereich I;ISCED 3: Sekundarbereich II;ISCED 2/3: Sekundarbereich insgesamt;ISCED 4: Post-sekundarer, nicht-tertiärer Bereich;ISCED 5B: Tertiärbereich B;ISCED 5A/6: Tertiärbereich A und weiterführende Forschungsprogramme;ISCED 5/6: Tertiärbereich insgesamt;ISCED 5: Tertiärbereich ohne Forschungs- und Entwicklungsaktivitäten;Alle Bildungsbereiche (ohne Elementarbereich)
Staat;Jahr;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar
Australien;1997;m;3633;5012;6443;5570;7437;7852;12024;11240;m;m
Australien;1998;m;3981;5184;6830;5830;7218;8341;12279;11539;m;m
Australien;1999;m;4858;6710;7066;6850;7650;7993;12588;11725;m;m
Australien;2000;m;4967;6579;7424;6894;6694;7260;14044;12854;m;6904
Australien;2001;m;5052;7042;7587;7239;6057;7692;13654;12688;9200;7046
Australien;2002;m;5169;7063;7908;7375;7121;7544;13410;12416;8816;7209
Australien;2003;m;5494;7442;8362;7788;7341;7792;13331;12406;8645;7527
Australien;2004;m;5776;7747;8853;8160;7969;8425;15000;14036;10250;8053
Australien;2005;m;5992;7930;9223;8408;7973;8569;15599;14579;10199;8340
Australien;2006;4252;6311;8319;9315;8700;8113;8828;16070;15016;9982;8678
Australien;2007;6507;6498;8967;8639;8840;6660;8052;15944;14726;9214;8786
Australien;2008;6408;6723;9200;8821;9052;6769;8395;16297;15043;9926;9056
Australien;2009;8493;8328;10273;9916;10137;7445;9158;17460;16074;9867;10407
Australien;2010;8899;9463;10595;9966;10350;7124;8829;16502;15142;9379;10825
Australien;2011;10734;8671;10689;9859;10354;6728;8495;18038;16267;10068;10711
Belgien 2)3);1997;2768;3813;y;y;6938;y;y;y;7834;m;m
Belgien 2)3);1998;2726;3743;y;y;5970;y;y;y;6508;m;m
Belgien 2)3);1999;3035;3952;y;y;6444;y;y;y;9724;m;m
Belgien 2)3);2000;3282;4310;y;y;6889;y;y;y;10771;m;6544
Belgien 2)3);2001;4062;5321;y;y;7912;y;y;y;11589;8084;7548
Belgien 2)3);2002;4420;5665;y;y;8272;y;y;y;12019;8302;7933
Belgien 2)3);2003;4663;6180;y;y;7708;y;y;y;11824;8139;7831
Belgien 2)3);2004;4915;6636;y;y;7751;y;y;y;11842;7920;8019
Belgien 2)3);2005;4816;6648;y;y;7731;y;y;y;11960;8046;8034
Belgien 2)3);2006;5082;7072;y;y;8601;y;y;y;13244;8496;8827
Belgien 2)3);2007;5247;7363;y;y;8992;y;y;y;13482;8786;9162
Belgien 2)3);2008;5732;8528;y;y;10511;y;y;y;15020;9713;10589
Belgien 2)3);2009;5696;8341;y;y;10775;y;y;y;15443;10001;10758
Belgien 2)3);2010;6024;8852;y;y;11004;y;y;y;15179;9645;11028
Belgien 2)3);2011;6333;9281;y;y;11732;y;y;y;15420;10075;11585
Chile 4);1997;1929;2115;2220;2337;2292;a;4616;9820;8775;m;m
Chile 4);1998;1318;1500;1624;1764;1713;n;3121;6565;5897;m;m
Chile 4);1999;1431;1701;1767;2041;1941;a;3545;7652;6911;m;m
Chile 4);2000;1563;1940;1914;2081;2016;a;3987;8240;7483;m;2629
Chile 4);2001;1766;2110;2070;2094;2085;a;3486;7611;6901;m;2732
Chile 4);2002;2232;2211;2217;2387;2324;a;3351;7758;7023;m;3446
Chile 4);2003;2470;2139;2124;2281;2225;a;3128;8382;7011;m;2876
Chile 4);2004;2460;2120;2106;2062;2077;a;4371;8090;6873;m;2864
Chile 4);2005;2953;1936;1865;1956;1924;a;3922;7977;6620;m;2694
Chile 4);2006;2764;2088;2051;2111;2090;a;3562;8130;6292;m;2849
Chile 4);2007;3371;2268;2190;2239;2222;a;3360;8746;6626;6438;3088
Chile 4);2008;3951;2707;2596;2548;2564;a;3556;9329;6829;6478;3520
Chile 4);2009;3885;2981;2893;2892;2892;a;4132;8935;6863;6390;3860
Chile 4);2010;3544;3301;3092;3119;3110;a;4028;9580;7101;6829;4183
Chile 4);2011;5083;4551;4494;4496;4495;a;5045;11082;8333;7897;5522
Dänemark 2);1997;5487;6596;6615;7683;7198;7585;y;y;7294;m;m
Dänemark 2);1998;5664;6713;6617;7705;7200;6826;y;y;9562;m;m
Dänemark 2);1999;4208;6721;6904;8270;7626;m;y;y;10657;m;m
Dänemark 2);2000;4255;7074;7222;8164;7726;y;y;y;11981;m;8302
Dänemark 2);2001;4542;7572;7653;8531;8113;y;y;y;14280;10771;9075
Dänemark 2);2002;4673;7727;7949;8054;8003;y;y;y;15183;11604;9261
Dänemark 2);2003;4824;7814;7958;8401;8183;y;y;y;14014;10190;9154
Dänemark 2);2004;5323;8081;8224;9466;8849;y;y;y;15225;11387;9766
Dänemark 2);2005;5320;8513;8606;10197;9407;y;y;y;14959;m;10108
Dänemark 2);2006;5208;8798;8909;10400;9662;y;y;y;15391;m;10395
Dänemark 2);2007;5594;9176;8998;10342;9675;y;y;y;16466;m;10759
Dänemark 2);2008;6382;10080;10268;11160;10720;y;y;y;17634;m;11788
Dänemark 2);2009;8785;11166;11078;10996;11036;y;y;y;18556;m;12523
Dänemark 2);2010;9454;10935;11561;11914;11747;y;y;y;18977;m;12848
Dänemark 2);2011;14148;9434;10971;10908;10937;y;y;y;21254;m;12136
Deutschland 5);1997;4288;3490;4652;9322;6149;10839;5623;10083;9466;m;m
Deutschland 5);1998;4648;3531;4641;9519;6209;10924;5422;10139;9481;m;m
Deutschland 5);1999;4937;3818;4918;10107;6603;11679;5495;11209;10393;m;m
Deutschland 5);2000;5138;4198;5470;9625;6826;10148;5728;11754;10898;m;6849
Deutschland 5);2001;4956;4237;5366;9223;6620;9460;5633;11306;10504;6370;6696
Deutschland 5);2002;4999;4537;5667;9835;7025;9896;5739;11860;10999;6617;7129
Deutschland 5);2003;4865;4624;5627;10232;7173;10097;6299;12457;11594;7282;7368
Deutschland 5);2004;5489;4948;6082;10459;7576;10573;6413;13218;12255;7724;7802
Deutschland 5);2005;5508;5014;6200;10282;7636;10531;6938;13351;12446;7772;7872
Deutschland 5);2006;5683;5362;6632;9163;7548;8559;7352;13926;13016;7996;7925
Deutschland 5);2007;6119;5548;6851;9557;7841;8600;7394;14852;13823;8534;8270
Deutschland 5);2008;6887;5929;7509;10597;8606;8495;7693;17114;15390;9504;9115
Deutschland 5);2009;7862;6619;8130;11287;9285;8843;8192;17306;15711;9594;9779
Deutschland 5);2010;7896;7079;8747;11229;9667;9008;8419;17658;16043;9813;10228
Deutschland 5);2011;8351;7579;9247;12022;10275;9694;8891;18348;16723;10164;10904
Estland 6);1997;m;m;m;m;m;m;m;m;m;m;m
