Tab.2.1.17;;;;;;;;;;
;;;;;;;;;;
Ausgaben von Bildungseinrichtungen je Schüler/-in und Studierende/n nach Staaten und Bildungsbereichen in US-Dollar in umgerechneter Kaufkraftparität 1);;;;;;;;;;
;;;;;;;;;;
;;ISCED 1: Primarbereich;ISCED 2: Sekundarbereich I;ISCED 3: Sekundarbereich II;ISCED 2/3: Sekundarbereich zusammen;ISCED 4: Post-sekundarer, nicht-tertiärer Bereich;ISCED 5: Kurzes tertiäres Bildungsprogramm;ISCED 6 bis 8: Bachelor, Master, Promotion oder gleichwertiges Bildungsprogramm;ISCED 5 bis 8: Tertiärbereich insgesamt;ISCED 1 bis 8: Primar- bis Tertiärbereich 2)
Staat;Jahr;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar
Australien;2012;7705;10574;9581;10165;6379;8267;18795;16859;10347
Australien;2013;8289;11431;10203;10932;6631;10008;19916;18337;11169
Australien;2014;8251;11698;10082;11023;5963;9299;19772;18038;11149
Australien;2015;9546;12466;12028;12303;9343;21290;20122;20344;12829
Australien;2016;10013;12684;10199;11651;4778;7200;20650;16170;11867
Australien;2017;10238;13181;11825;12640;8504;10943;23261;20436;13272
Belgien;2012;9581;11670;12210;12025;y;8212;15785;15503;12135
Belgien;2013;9957;12267;13020;12763;y;9366;16148;15911;12407
Belgien;2014;10216;12649;13363;13118;y;11901;16780;16599;12796
Belgien;2015;10211;12538;13352;13070;y;11577;17538;17320;12900
Belgien;2016;10646;13409;13704;13603;y;12833;18366;18169;13446
Belgien;2017;11106;14524;14606;14578;y;12965;19649;19422;14287
Chile 3);2012;4476;4312;3706;3909;a;4186;9409;7960;5235
Chile 3);2013;4021;4099;4141;4127;a;4079;9084;7642;5092
Chile 3);2014;4321;4737;4349;4478;a;3989;8186;6952;5135
Chile 3);2015;5064;4974;4909;4930;a;4103;10164;8406;5986
Chile 3);2016;5371;5556;5142;5278;a;4928;11683;9769;6613
Chile 3);2017;5259;5440;5033;5167;a;4821;11503;9610;6487
Costa Rica;2012;m;m;m;m;m;m;m;m;m
Costa Rica;2013;m;m;m;m;m;m;m;m;m
Costa Rica;2014;m;m;m;m;m;m;m;m;m
Costa Rica;2015;m;m;m;m;m;m;m;m;m
Costa Rica;2016;m;m;m;m;a;m;m;m;m
Costa Rica;2017;m;m;m;m;a;m;m;m;m
Dänemark;2012;10953;11460;9959;10632;a;m;m;m;m
Dänemark;2013;11355;11906;10165;10933;a;y;y;16460;12294
Dänemark;2014;12158;11792;10526;10998;a;y;y;16568;12785
Dänemark;2015;m;m;m;m;m;m;m;m;m
Dänemark;2016;m;m;m;m;m;m;m;m;m
Dänemark;2017;13278;13127;9526;11164;a;17623;18116;18062;13499
Deutschland;2012;7749;9521;12599;10650;10041;8265;17159;17157;11363
Deutschland;2013;8103;9967;13093;11106;10465;9626;16896;16895;11545
Deutschland;2014;8546;10554;13615;11684;10646;10107;17181;17180;12063
Deutschland;2015;8619;10680;13652;11791;10736;10149;17036;17036;12139
Deutschland;2016;8960;11159;14094;12268;11211;10783;17429;17429;12583
Deutschland;2017;9572;11975;15466;13283;12403;11284;18487;18486;13529
Estland;2012;5668;6524;7013;6791;7478;a;8206;8206;6878
Estland;2013;7138;7009;5909;6417;7039;a;11607;11607;8107
Estland;2014;6760;7272;6900;7077;8014;a;12375;12375;8389
Estland;2015;6327;6614;7090;6861;7929;a;12867;12867;8133
Estland;2016;6872;7047;6742;6887;7719;a;12909;12909;8243
Estland;2017;7481;7622;7208;7404;8053;a;14580;14580;8946
Finnland;2012;8316;12909;8599;9985;y;a;17863;17863;11030
Finnland;2013;8519;13312;8786;10237;y;a;17868;17868;11221
Finnland;2014;8812;13865;8759;10387;y;a;17893;17893;11381
Finnland;2015;9305;14682;8543;10482;y;a;17591;17591;11518
Finnland;2016;9447;15041;8315;10427;y;a;17541;17541;11531
Finnland;2017;9633;15400;8180;10454;y;a;17730;17730;11637
Frankreich;2012;7013;9588;13070;11046;m;12346;16279;15281;10450
Frankreich;2013;7201;9947;13643;11482;9549;13784;16998;16194;10907
Frankreich;2014;7396;10309;13927;11815;9736;14122;17178;16422;11184
Frankreich;2015;7395;10268;13799;11747;9286;14093;16805;16145;11106
Frankreich;2016;7603;10599;14132;12100;9389;14502;16697;16173;11364
Frankreich;2017;8319;11252;14743;12748;9897;15359;17442;16952;12080
Griechenland;2012;m;m;m;m;m;m;m;m;m
Griechenland;2013;m;m;m;m;m;m;m;m;m
Griechenland;2014;m;m;m;m;m;m;m;m;m
Griechenland;2015;5810;7099;6490;6786;m;a;4095;4095;5470
Griechenland;2016;5973;6859;6704;6779;m;a;m;m;m
Griechenland;2017;6085;6951;6638;6789;m;a;3294;3294;m
Irland 4);2012;8681;11087;11564;11298;12856;y;y;14922;10740
Irland 4);2013;8002;10773;10840;10804;12630;y;y;13663;10065
Irland 4);2014;8007;10518;10837;10665;11359;y;y;14131;10030
Irland 4);2015;8288;9983;10259;10111;m;y;y;13229;9439
Irland 4);2016;8468;9814;10094;9948;7771;y;y;13237;9736
Irland 4);2017;8215;10054;8890;9445;35312;y;y;16794;10489
Island;2012;10003;10706;7541;8724;11140;9665;9373;9377;10287
Island;2013;10569;11276;7743;9041;13029;8494;11314;11256;10067
Island;2014;11163;12359;8631;10078;12336;9388;11476;11435;10782
Island;2015;11215;12872;10023;11149;13860;8918;12754;12671;11499
Island;2016;11757;13501;10360;11578;15653;10015;14688;14551;12250
Island;2017;13333;15620;11503;13122;15532;9682;16497;16270;13819
Israel;2012;6931;y;y;5689;2326;6366;13777;12338;7903
Israel;2013;6941;y;5831;5831;2672;5904;17446;15185;7840
Israel;2014;6833;y;6699;6699;2380;4669;14924;12989;7758
Israel;2015;7971;y;7987;7987;m;5267;13865;11003;m
Israel;2016;8498;y;8330;8330;1186;5231;14132;11153;8891
Israel;2017;9155;y;9079;9079;1205;5584;15795;12310;9671
Italien 4);2012;7924;8905;8684;8774;m;m;10071;10071;8744
Italien 4);2013;8392;8797;9174;9023;m;7962;11177;11172;9238
Italien 4);2014;8442;9033;8859;8927;m;5771;11527;11510;9317
Italien 4);2015;8426;9258;8969;9079;m;4120;11285;11257;9308
Italien 4);2016;7991;8893;9377;9193;y;6318;11616;11589;9298
Italien 4);2017;9160;10073;10883;10574;y;4240;12277;12226;10473
Japan;2012;8595;9976;10360;10170;y;10532;18557;16872;11671
Japan;2013;8748;10084;10459;10273;y;11339;19641;17883;11309
Japan;2014;9062;10422;11047;10739;y;11297;19836;18022;11654
Japan;2015;9105;10562;11715;11147;y;13806;20758;19289;12120
Japan;2016;8978;10546;11863;11219;y;14124;20537;19191;12096
Japan;2017;8824;10511;11510;11024;y;13617;20209;18839;11896
Kanada 3)4)5);2012;9680;y;11695;m;m;15348;25525;22006;m
Kanada 3)4)5);2013;9130;y;12086;m;m;14764;25083;21458;12967
Kanada 3)4)5);2014;9256;y;12780;12780;m;14377;25185;21326;13235
Kanada 3)4)5);2015;9249;y;12900;12900;y;m;m;m;m
Kanada 3)4)5);2016;9207;y;13856;13856;m;18228;26606;23700;13682
Kanada 3)4)5);2017;10238;y;13891;13891;m;18820;27948;24671;14428
Kolumbien 3);2012;2645;2651;2742;2677;y;y;y;5183;3291
Kolumbien 3);2013;2074;2728;3117;2835;a;3318;7879;6391;3165
Kolumbien 3);2014;2490;3093;2976;3060;a;y;y;5126;3245
Kolumbien 3);2015;3178;2909;2586;2817;y;y;y;6369;3683
Kolumbien 3);2016;3323;3091;3001;3066;y;y;y;5787;3661
Kolumbien 3);2017;3494;4468;3436;4177;m;y;y;2335;3538
Korea;2012;7395;7008;9651;8355;a;5540;11173;9866;9569
Korea;2013;7957;7324;9801;8592;m;5370;10491;9323;8658
Korea;2014;9656;8932;11610;10316;a;5432;10765;9570;9873
Korea;2015;11047;11025;13247;12202;a;5817;11310;10109;11143
Korea;2016;11029;11477;13113;12370;a;5770;11781;10486;11318
Korea;2017;11702;12597;14394;13579;a;5791;11948;10633;11981
Lettland;2012;3489;3515;3685;3610;4153;5091;5290;5262;3983
Lettland;2013;5974;6016;6005;6010;6135;8814;8088;8193;6526
Lettland;2014;6585;6587;6665;6629;8357;9146;8931;8962;7190
Lettland;2015;6672;6723;7123;6930;8235;10693;10046;10137;7595
Lettland;2016;6453;6504;7006;6761;7816;9322;7143;7449;6814
Lettland;2017;6379;6492;7680;7102;8585;8141;8381;8346;7121
Litauen;2012;m;m;m;m;m;m;m;m;m
Litauen;2013;5079;4596;5345;4826;9609;a;8697;8697;6027
Litauen;2014;5179;5017;5631;5205;7306;a;10021;10021;6508
Litauen;2015;5500;5135;5310;5188;5483;a;9657;9657;6393
Litauen;2016;6053;5651;5657;5653;5593;a;7701;7701;6245
Litauen;2017;6340;5994;6002;5997;5857;a;8428;8428;6652
Luxemburg 4)6);2012;20020;20247;20962;20617;1257;3749;34739;32876;22545
Luxemburg 4)6);2013;17959;20076;19473;19762;1403;22173;42435;40933;21320
Luxemburg 4)6);2014;21153;21499;21682;21595;1364;24855;48756;46526;24045
Luxemburg 4)6);2015;20892;21124;19808;20413;1588;24769;51625;48907;22430
Luxemburg 4)6);2016;17913;21739;21231;21464;1760;23098;51918;48407;21705
Luxemburg 4)6);2017;19690;23073;22427;22724;1951;27920;55433;52089;23324
Mexiko;2012;2632;2367;4160;3007;a;y;y;8115;3509
Mexiko;2013;2717;2473;4126;3065;a;y;y;7568;3387
Mexiko;2014;2896;2579;4360;3219;a;y;y;8949;3703
Mexiko;2015;2874;2514;4224;3129;a;y;y;8170;3611
Mexiko;2016;2961;2561;4187;3167;a;y;y;7347;3632
Mexiko;2017;2782;2438;3418;2823;a;y;y;6586;3320
Neuseeland;2012;7069;8644;10262;9409;9542;10289;14543;13740;9443
Neuseeland;2013;7354;9191;11328;10198;9852;10960;15419;14585;10045
Neuseeland;2014;7438;9448;11195;10267;10019;10312;16219;15088;10205
Neuseeland;2015;7849;9409;11509;10383;9990;11494;16015;15166;10392
Neuseeland;2016;8287;9362;11765;10467;9885;10557;15956;14933;10530
Neuseeland;2017;8533;10059;12401;11117;10059;11279;17096;16068;11098
Niederlande;2012;8185;12227;12368;12296;11554;11580;19305;19276;12211
Niederlande;2013;8371;12334;12200;12269;11016;11381;18987;18947;12247
Niederlande;2014;8529;12404;12491;12446;11313;11477;19188;19159;12495
Niederlande;2015;8478;12491;13241;12850;12655;10543;19323;19286;12730
Niederlande;2016;8609;12831;13196;13006;a;10815;19552;19513;12926
Niederlande;2017;9301;13527;14274;13889;a;11467;20493;20445;13809
Norwegen;2012;12728;13373;15248;14450;y;y;20016;20016;15497
Norwegen;2013;13274;14103;16153;15283;y;y;20379;20379;15466
Norwegen;2014;13104;13975;16047;15149;15979;12813;21262;20962;15510
Norwegen;2015;13275;14486;16095;15401;16962;16399;21129;20973;15705
Norwegen;2016;12619;13532;15901;14860;17381;17361;22135;21993;15459
Norwegen;2017;13906;13906;17191;15735;21168;20615;23522;23439;16644
Österreich;2012;9563;13632;14013;13806;5212;15071;15641;15549;13189
Österreich;2013;10780;14831;15255;15024;5322;16453;16742;16695;14361
Österreich;2014;11154;15106;15079;15094;4817;16275;17061;16933;14549
Österreich;2015;11689;15514;15432;15477;4876;16700;17718;17555;15043
Österreich;2016;12299;16282;16351;16313;5436;17837;18424;18332;15806
Österreich;2017;12754;16794;16593;16705;5700;18457;19206;19089;16319
Polen 4)7);2012;6721;6682;6419;6540;m;8229;9811;9799;7398
Polen 4)7);2013;6919;6900;6178;6505;4699;11800;8918;8929;7195
Polen 4)7);2014;7026;7058;5949;6455;3950;14012;9697;9708;7374
Polen 4)7);2015;6757;6985;6655;6806;4424;16373;9678;9687;7400
Polen 4)7);2016;6808;7136;7114;7124;3964;24012;8974;8977;7356
Polen 4)7);2017;7806;7286;7838;7577;3742;27938;10041;10044;8144
Portugal 4);2012;6105;8524;8888;8691;y;a;9196;9196;7952
Portugal 4);2013;7258;9667;10503;10074;y;a;11106;11106;9218
Portugal 4);2014;6474;8634;9015;8821;y;a;11813;11813;8516
Portugal 4);2015;7380;9568;9469;9518;y;y;y;11766;9153
Portugal 4);2016;7689;10382;9628;9999;y;8954;11064;11014;9346
